Score;Match_type;Match_addr;Rank;USER_City;X;Y;DisplayX;DisplayY;USER_Company_Name;USER_Parent_Company_Name;USER_Executive_First_Name;USER_Executive_Last_Name;USER_Address;USER_State;USER_ZIP_Code;USER_Legal_Name;USER_Record_Type;USER_Phone_Number_Combined;USER_Census_Block_Group;USER_Website;USER_Toll_Free_Number_Combined;USER_Company_Description;USER_Primary_SIC_Code;USER_Primary_SIC_Description;USER_SIC_Code_1;USER_Primary_NAICS;USER_Primary_NAICS_Description;USER_NAICS_1;USER_Franchise_Description_1;USER_Location_Employee_Size_Range;USER_Location_Employee_Size_Actual;USER_Location_Sales_Volume_Range;USER_Location_Sales_Volume_Actual;USER_Corporate_Employee_Size_Range;USER_Corporate_Employee_Size_Actual;USER_Corporate_Sales_Volume_Range;USER_Corporate_Sales_Volume_Actual;USER_Type_of_Business;USER_Location_Type;USER_IUSA_Number;USER_EIN_1;USER_Last_Updated_On;USER_Years_In_Database;USER_Year_Established;USER_Home_Business;USER_Firm_or_Individual;USER_Twitter;USER_Linked_In;USER_Facebook;USER_Affiliated_Records;USER_Affiliated_Locations;;
100;A;10 Lupine Ln, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.194669073537;47.194598776844998;-124.194670414642;47.194721907001998;Beach Reflections;;;;10 Lupine Ln;WA;98571;;Verified;(360) 276-5022;2;Beach-Reflections-Two-Bedroom-Holiday-Ho;;;701101;Hotels & Motels;701101;72111002;Hotels (Except Casino Hotels) And Motels;72111002;;1 to 4;2;;0;;0;;0;Private;Single Loc;72-111-2930;;202406;9;;No;2;;;;0;0;FALSE;FALSE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203681143213;47.216663689435997;-124.203681143213;47.216663689435997;Navy Getaways-Pacific Beach;US DEPARTMENT OF DEFENSE;Kerri;Billings;108 N 1st St;WA;98571;;Verified;(360) 276-4414;2;;Get.Dodlodging.Net;;701101;Hotels & Motels;701101;72111002;Hotels (Except Casino Hotels) And Motels;72111002;Military Lodging;5 to 9;7;;0;;0;;0;Private;Branch;59-363-0064;;202403;23;;No;2;;;;0;0;FALSE;TRUE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203681143213;47.216663689435997;-124.203681143213;47.216663689435997;Windjammer Restaurant & Lounge;;Carey;Keith;108 N 1st St;WA;98571;;Verified;(360) 276-8199;2;;;;581208;Restaurants;581208;72251117;Full-Service Restaurants;72251117;;20 to 49;20;$500,000-1 Million;731000;;0;;0;Private;Single Loc;57-073-0523;;202408;24;;No;2;;;;0;0;FALSE;TRUE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203681143213;47.216663689435997;-124.203681143213;47.216663689435997;ATM;;;;108 N 1st St;WA;98571;;Verified;Not Available;2;;;;602103;Atm-Automated Teller Machines;602103;52211001;Commercial Banking;52211001;Atm (Citibank);;0;;0;;0;;0;Private;Single Loc;43-367-0661;;201908;12;;No;2;;;;0;0;TRUE;TRUE
100;A;48 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.201989827771;47.208878019456002;-124.201990414505;47.209068372476999;Pacific Beach Hardware Inc;;James;Preisinger;48 Main St;WA;98571;PACIFIC BEACH HARDWARE INC;Verified;Not Available;2;;Pacificlumberco.Com;;525104;Hardware-Retail;525104;44414005;Hardware Retailers;44414005;;1 to 4;2;Less Than $500,000;355000;;0;;0;Private;Single Loc;72-014-6373;;201604;9;;No;2;;;;0;0;FALSE;TRUE
100;A;11 4th St S, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.200102390815;47.208386337016002;-124.19980667727;47.208392120528998;Pacific Beach Elementary Sch;;Lynette;Reime;11 4th St S;WA;98571;;Verified;(360) 276-4512;2;;Northbeachschools.Org;;821103;Schools;821103;61111007;Elementary And Secondary Schools;61111007;Elementary;10 to 19;12;;0;;0;;0;Private;Single Loc;17-517-4481;;202406;37;;No;2;;;;0;0;FALSE;FALSE
100;A;17 Diamond Dr, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.199812544603;47.203199615331002;-124.199796535168;47.203045136855003;Happy Hooker Charters Inc;;;;17 Diamond Dr;WA;98571;HAPPY HOOKER CHARTERS INC;Unverified;Not Available;2;;;;472501;Tours-Operators & Promoters;472501;56152007;Tour Operators;56152007;;1 to 4;2;Less Than $500,000;280000;;0;;0;Private;Single Loc;72-109-5915;;201607;9;2016;No;2;;;;0;0;FALSE;FALSE
100;A;11 Chabot Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.173533937043;47.087089050136001;-124.173632759681;47.086787553078999;Surfcrest LTD;;Jill;Lesman;11 Chabot Rd;WA;98535;;Verified;(360) 289-2157;2;;Surfcrestresort.Com;;651301;Condominiums;651301;53111004;Lessors Of Residential Buildings And Dwellings;53111004;;10 to 19;10;$500,000-1 Million;675000;;0;;0;Private;Single Loc;80-402-9288;;202411;41;1974;No;2;;;https://www.facebook.com/surfcrestresortwashington;0;0;FALSE;FALSE
100;A;3843 State Route 109, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.192575565903;47.166653454052003;-124.192575565903;47.166653454052003;Park 400;;Rick;Stanley;3843 State Route 109;WA;98571;;Verified;(360) 276-4101;2;;;;703302;Recreational Vehicle Parks;703302;72121102;Rv (Recreational Vehicle) Parks And Campgrounds;72121102;;1 to 4;2;Less Than $500,000;212000;;0;;0;Private;Single Loc;17-517-4507;;201610;39;;No;2;;;;0;0;FALSE;FALSE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.20367946933;47.216543816127000;-124.20367946933;47.216543816127000;US Navy Dept;US DEPARTMENT OF DEFENSE;;;108 N 1st St;WA;98571;;Unverified;(360) 276-4348;2;;Navy.Mil;;971101;Federal Government-National Security;971101;92811003;National Security;92811003;;1 to 4;3;;0;;0;;0;Private;Branch;53-817-9466;;201704;25;;No;2;;;;0;0;FALSE;TRUE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203681143213;47.216663689435997;-124.203681143213;47.216663689435997;Grays Harbor County Sheriff;;;;108 N 1st St;WA;98571;;Unverified;(360) 276-8277;2;;;;919903;County Government-General Offices;919903;92119002;Other General Government Support;92119002;;1 to 4;2;;0;;0;;0;Private;Single Loc;35-986-1358;;201704;20;;No;2;;;;0;0;FALSE;TRUE
100;A;113 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203851308032;47.216767491775997;-124.203851308032;47.216767491775997;Pacific Beach Liquor # 932;;Cindy;Murdoch;113 N 1st St;WA;98571;;Unverified;(360) 276-4460;2;;;Based IN Pacific Beach, Wash., Pacific Beach Resort Offers Reasonably Priced, Fully Furnished Three, Four And Five-Bedroom Cottages. Its Lodging Is Open To All Military, Active, Retired And Reservists, As Well As Dod And Federal Employees And Only Athoriz;592102;Liquors-Retail;592102;44532004;Beer, Wine, And Liquor Retailers;44532004;;50 to 99;65;$10-20 Million;13101000;;0;;0;Private;Single Loc;35-985-9519;;201704;20;;No;2;;;;0;0;FALSE;FALSE
100;A;1440 State Route 109, Hoquiam, Washington, 98550;20;Hoquiam;-124.043934375068;47.052462108923997;-124.041625496018;47.054440154254003;Debi Tracy Design;;Debi;Tracy;1440 State Route 109;WA;98550;;Unverified;(360) 533-4039;1;;;;733603;Graphic Designers;733603;54143006;Graphic Design Services;54143006;;1 to 4;1;Less Than $500,000;50000;;0;;0;Private;Single Loc;25-205-3145;;201704;20;;Yes;2;;;;0;0;FALSE;FALSE
100;A;44 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.201806934643;47.208878648099002;-124.201807521378;47.209068162930002;Nancy Ann's Attic;;;;44 Main St;WA;98571;;Unverified;(360) 276-4443;2;;;;594712;Gift Shops;594712;45942013;Gift, Novelty, And Souvenir Retailers;45942013;;1 to 4;3;Less Than $500,000;249000;;0;;0;Private;Single Loc;60-968-0962;;201704;19;;No;2;;;;0;0;FALSE;TRUE
100;A;5 Tahiti St, Ocean Shores, Washington, 98569;20;Ocean City;-124.170081179668;47.073182466939997;-124.170421820212;47.073219012037001;VENTURE MANAGEMENT, LLC;;Leo;Warren;5 Tahiti St;WA;98569;;Verified;(206) 244-4442;1;;;;738958;Liquidators;738958;56199014;All Other Support Services;56199014;;1 to 4;1;Less Than $500,000;66000;;0;;0;Private;Single Loc;94-083-7081;;201706;41;;Yes;2;;;;0;0;FALSE;TRUE
100;A;2641 Pacific Blvd NW, Ocean Shores, Washington, 98569;20;Ocean City;-124.16649976008;47.072541754261003;-124.167228063645;47.072393813669997;Ocean City Market Place;;Ivan L;Hass;2641 Pacific Blvd NW;WA;98569;;Verified;Not Available;1;;;;541105;Grocers-Retail;541105;44511003;Supermarkets And Other Grocery Retailers (Except C;44511003;;1 to 4;2;$500,000-1 Million;505000;;0;;0;Private;Single Loc;72-661-6210;;201708;8;2017;No;2;;;;0;0;FALSE;TRUE
